,carrier_name,month,arr_flights,arr_cancelled,arr_diverted,percent_cancelled,percent_diverted
0,Alaska Airlines Inc.,1,20744.0,429.0,111.0,2.07,0.54
1,Alaska Airlines Inc.,10,22194.0,121.0,47.0,0.55,0.21
2,Alaska Airlines Inc.,11,21007.0,175.0,42.0,0.83,0.2
3,Alaska Airlines Inc.,12,21993.0,241.0,51.0,1.1,0.23
4,Alaska Airlines Inc.,2,19028.0,874.0,115.0,4.59,0.6
5,Alaska Airlines Inc.,3,21694.0,267.0,45.0,1.23,0.21
6,Alaska Airlines Inc.,4,21300.0,164.0,54.0,0.77,0.25
7,Alaska Airlines Inc.,5,22567.0,116.0,43.0,0.51,0.19
8,Alaska Airlines Inc.,6,23271.0,206.0,52.0,0.89,0.22
9,Alaska Airlines Inc.,7,24593.0,139.0,66.0,0.57,0.27
10,Alaska Airlines Inc.,8,24688.0,228.0,54.0,0.92,0.22
11,Alaska Airlines Inc.,9,21737.0,117.0,44.0,0.54,0.2
12,Allegiant Air,1,6763.0,50.0,19.0,0.74,0.28
13,Allegiant Air,10,7866.0,6.0,13.0,0.08,0.17
14,Allegiant Air,11,8140.0,25.0,7.0,0.31,0.09
15,Allegiant Air,12,9381.0,70.0,15.0,0.75,0.16
16,Allegiant Air,2,7271.0,91.0,23.0,1.25,0.32
17,Allegiant Air,3,10260.0,42.0,15.0,0.41,0.15
18,Allegiant Air,4,9283.0,64.0,24.0,0.69,0.26
19,Allegiant Air,5,9021.0,13.0,26.0,0.14,0.29
20,Allegiant Air,6,11091.0,54.0,50.0,0.49,0.45
21,Allegiant Air,7,11786.0,41.0,27.0,0.35,0.23
22,Allegiant Air,8,8717.0,24.0,13.0,0.28,0.15
23,Allegiant Air,9,5726.0,144.0,6.0,2.51,0.1
24,American Airlines Inc.,1,77017.0,1511.0,152.0,1.96,0.2
25,American Airlines Inc.,10,81028.0,867.0,204.0,1.07,0.25
26,American Airlines Inc.,11,77566.0,387.0,104.0,0.5,0.13
27,American Airlines Inc.,12,79405.0,177.0,134.0,0.22,0.17
28,American Airlines Inc.,2,71059.0,860.0,167.0,1.21,0.24
29,American Airlines Inc.,3,80027.0,1719.0,86.0,2.15,0.11
30,American Airlines Inc.,4,76765.0,2634.0,213.0,3.43,0.28
31,American Airlines Inc.,5,81666.0,2772.0,246.0,3.39,0.3
32,American Airlines Inc.,6,80090.0,3671.0,351.0,4.58,0.44
33,American Airlines Inc.,7,81801.0,2554.0,353.0,3.12,0.43
34,American Airlines Inc.,8,82689.0,1869.0,263.0,2.26,0.32
35,American Airlines Inc.,9,77663.0,1130.0,110.0,1.46,0.14
36,Delta Air Lines Inc.,1,73836.0,328.0,105.0,0.44,0.14
37,Delta Air Lines Inc.,10,86322.0,10.0,133.0,0.01,0.15
38,Delta Air Lines Inc.,11,80046.0,57.0,69.0,0.07,0.09
39,Delta Air Lines Inc.,12,81524.0,26.0,93.0,0.03,0.11
40,Delta Air Lines Inc.,2,67337.0,64.0,156.0,0.1,0.23
41,Delta Air Lines Inc.,3,84208.0,66.0,77.0,0.08,0.09
42,Delta Air Lines Inc.,4,81949.0,146.0,160.0,0.18,0.2
43,Delta Air Lines Inc.,5,85579.0,0.0,222.0,0.0,0.26
44,Delta Air Lines Inc.,6,87350.0,167.0,338.0,0.19,0.39
45,Delta Air Lines Inc.,7,90812.0,355.0,358.0,0.39,0.39
46,Delta Air Lines Inc.,8,91278.0,216.0,224.0,0.24,0.25
47,Delta Air Lines Inc.,9,81745.0,407.0,184.0,0.5,0.23
